team,teamInnings,inning,position,batsman,dismissal,runs,balls,M,4s,6s,SR,out/not_out,id
United Arab Emirates VS Namibia,Namibia,Inning2,6,JJ Smit,run out (Meiyappan/Ahmed Raza),3,3,3,0,0,100.0,out,T20I # 1836
United Arab Emirates VS Namibia,Namibia,Inning2,7,David Wiese,c Sharafu b Muhammad Waseem,55,36,65,3,3,152.77,out,T20I # 1836
United Arab Emirates VS Namibia,Namibia,Inning2,8,Zane Green,b Zahoor Khan,2,3,3,0,0,66.66,out,T20I # 1836
United Arab Emirates VS Namibia,Namibia,Inning2,9,Ruben Trumpelmann,not out,25,24,43,1,1,104.16,not out,T20I # 1836
United Arab Emirates VS Namibia,Namibia,Inning2,10,Bernard Scholtz,not out,1,1,-,0,0,100.0,not out,T20I # 1836
West Indies VS Ireland,West Indies,Inning1,1,Kyle Mayers,c Tector b McCarthy,1,5,12,0,0,20.0,out,T20I # 1837
West Indies VS Ireland,West Indies,Inning1,2,Johnson Charles,c Campher b Simi Singh,24,18,22,3,1,133.33,out,T20I # 1837
West Indies VS Ireland,West Indies,Inning1,3,Evin Lewis,c Adair b Delany,13,18,42,0,0,72.22,out,T20I # 1837
West Indies VS Ireland,West Indies,Inning1,4,Brandon King,not out,62,48,80,6,1,129.16,not out,T20I # 1837
West Indies VS Ireland,West Indies,Inning1,5,Nicholas Pooran(c),c Tector b Delany,13,11,16,0,1,118.18,out,T20I # 1837
West Indies VS Ireland,West Indies,Inning1,6,Rovman Powell,c Tector b Delany,6,8,12,1,0,75.0,out,T20I # 1837
West Indies VS Ireland,West Indies,Inning1,7,Odean Smith,not out,19,12,18,1,2,158.33,not out,T20I # 1837
West Indies VS Ireland,Ireland,Inning2,1,Paul Stirling,not out,66,48,79,6,2,137.5,not out,T20I # 1837
West Indies VS Ireland,Ireland,Inning2,2,Andy Balbirnie(c),c Mayers b Hosein,37,23,34,3,3,160.86,out,T20I # 1837
West Indies VS Ireland,Ireland,Inning2,3,Lorcan Tucker,not out,45,35,46,2,2,128.57,not out,T20I # 1837
Scotland VS Zimbabwe,Scotland,Inning1,1,George Munsey,c Shumba b Ngarava,54,51,74,7,0,105.88,out,T20I # 1838
Scotland VS Zimbabwe,Scotland,Inning1,2,Michael Jones,c Sikandar Raza b Chatara,4,5,6,1,0,80.0,out,T20I # 1838
Scotland VS Zimbabwe,Scotland,Inning1,3,Matthew Cross,c Madhevere b Ngarava,1,7,15,0,0,14.28,out,T20I # 1838
Scotland VS Zimbabwe,Scotland,Inning1,4,Richie Berrington(c),c Shumba b Sikandar Raza,13,15,24,0,0,86.66,out,T20I # 1838
Scotland VS Zimbabwe,Scotland,Inning1,5,Calum MacLeod,c Jongwe b Chatara,25,26,46,1,0,96.15,out,T20I # 1838
Scotland VS Zimbabwe,Scotland,Inning1,6,Michael Leask,b Muzarabani,12,9,11,2,0,133.33,out,T20I # 1838
Scotland VS Zimbabwe,Scotland,Inning1,7,Chris Greaves,not out,3,7,10,0,0,42.85,not out,T20I # 1838
Scotland VS Zimbabwe,Scotland,Inning1,8,Josh Davey,not out,4,3,3,0,0,133.33,not out,T20I # 1838
Scotland VS Zimbabwe,Zimbabwe,Inning2,1,Regis Chakabva,lbw b Wheal,4,3,3,1,0,133.33,out,T20I # 1838
Scotland VS Zimbabwe,Zimbabwe,Inning2,2,Craig Ervine(c),c MacLeod b Watt,58,54,79,6,0,107.4,out,T20I # 1838
Scotland VS Zimbabwe,Zimbabwe,Inning2,3,Wessly Madhevere,b Davey,0,5,8,0,0,0.0,out,T20I # 1838
Scotland VS Zimbabwe,Zimbabwe,Inning2,4,Sean Williams,c Wheal b Leask,7,12,28,0,0,58.33,out,T20I # 1838
Scotland VS Zimbabwe,Zimbabwe,Inning2,5,Sikandar Raza,c Cross b Davey,40,23,34,3,2,173.91,out,T20I # 1838
Scotland VS Zimbabwe,Zimbabwe,Inning2,6,Milton Shumba,not out,11,11,16,0,0,100.0,not out,T20I # 1838
Scotland VS Zimbabwe,Zimbabwe,Inning2,7,Ryan Burl,not out,9,5,7,1,0,180.0,not out,T20I # 1838
New Zealand VS Australia,New Zealand,Inning1,1,Finn Allen,b Hazlewood,42,16,24,5,3,262.5,out,T20I # 1839
New Zealand VS Australia,New Zealand,Inning1,2,Devon Conway,not out,92,58,106,7,2,158.62,not out,T20I # 1839
New Zealand VS Australia,New Zealand,Inning1,3,Kane Williamson(c),lbw b Zampa,23,23,48,1,1,100.0,out,T20I # 1839
New Zealand VS Australia,New Zealand,Inning1,4,Glenn Phillips,c & b Hazlewood,12,10,16,2,0,120.0,out,T20I # 1839
